,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,cross_street_name,date,latitude,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2
12524,MANHATTAN,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,2015-12-17,40.7403945,-73.9790771,1,0,0,0,EAST 27 STREET                  ,2 AVENUE                        ,23.333333333333332,3355290,PASSENGER VEHICLE,BICYCLE
12525,MANHATTAN,Unspecified,Unspecified,,2012-12-08,40.7485397,-73.9731412,1,0,0,0,EAST 40 STREET                  ,2 AVENUE                        ,14.0,33553,PASSENGER VEHICLE,BICYCLE
12526,MANHATTAN,Driver Inattention/Distraction,Unspecified,,2015-12-17,40.756031400000005,-73.9790253,1,0,0,0,WEST 46 STREET                  ,5 AVENUE                        ,19.166666666666668,3355322,UNKNOWN,BICYCLE
12527,MANHATTAN,Unspecified,Unspecified,,2014-05-14,40.7923026,-73.95045809999999,1,0,0,0,MADISON AVENUE                  ,EAST 104 STREET                 ,21.5,335534,UNKNOWN,BICYCLE
12528,MANHATTAN,Physical Disability,Unspecified,,2015-12-17,40.7986223,-73.9416189,1,0,0,0,LEXINGTON AVENUE                ,EAST 116 STREET                 ,22.166666666666668,3355365,PASSENGER VEHICLE,BICYCLE
12529,MANHATTAN,Unspecified,Unspecified,,2014-05-13,40.8474287,-73.9313942,1,0,0,0,WEST 180 STREET                 ,AMSTERDAM AVENUE                ,16.5,335555,,
12530,BROOKLYN,Unspecified,Unspecified,,2015-12-18,40.6718921,-73.8958679,1,0,0,0,PITKIN AVENUE                   ,PENNSYLVANIA AVENUE             ,8.0,3355608,PASSENGER VEHICLE,BICYCLE
12531,BRONX,Unspecified,,,2014-05-14,40.820985799999995,-73.89161329999999,1,0,0,0,SOUTHERN BOULEVARD              ,HUNTS POINT AVENUE              ,20.333333333333332,335562,PASSENGER VEHICLE,BICYCLE
12532,BROOKLYN,Unspecified,,,2015-12-17,40.6778626,-73.9386241,1,0,0,0,ALBANY AVENUE                   ,ATLANTIC AVENUE                 ,9.05,3355634,VAN,
12533,BROOKLYN,Driver Inattention/Distraction,Unspecified,,2015-12-18,40.7137945,-73.9442652,1,0,0,0,DEVOE STREET                    ,GRAHAM AVENUE                   ,4.833333333333333,3355667,PASSENGER VEHICLE,BICYCLE
12534,BROOKLYN,Driver Inexperience,Unspecified,,2015-12-18,40.7048304,-73.9663241,1,0,0,0,CLYMER STREET                   ,WYTHE AVENUE                    ,20.0,3355669,PASSENGER VEHICLE,BICYCLE
12535,,Passenger Distraction,Unspecified,,2015-12-17,,,1,0,0,0,COLLEGE POINT BOULEVARD         ,31 AVENUE                       ,21.916666666666668,3355788,PASSENGER VEHICLE,BICYCLE
12536,BRONX,Unspecified,Unspecified,,2014-05-15,40.8617006,-73.8913807,1,0,0,0,EAST FORDHAM ROAD               ,WEBSTER AVENUE                  ,2.6666666666666665,335585,PASSENGER VEHICLE,BICYCLE
12537,BROOKLYN,Driver Inattention/Distraction,Unspecified,,2015-12-19,40.664365000000004,-73.9075403,1,0,0,0,OSBORN STREET                   ,DUMONT AVENUE                   ,14.183333333333334,3356275,SMALL COM VEH(4 TIRES) ,BICYCLE
12538,BROOKLYN,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,2015-12-18,40.6809568,-73.96767740000001,1,0,0,0,PACIFIC STREET                  ,VANDERBILT AVENUE               ,17.883333333333333,3356299,SPORT UTILITY / STATION WAGON,BICYCLE
12539,QUEENS,Failure to Yield Right-of-Way,Unspecified,,2015-12-18,40.765057,-73.81292009999999,1,0,0,0,NORTHERN BOULEVARD              ,MURRAY STREET                   ,7.416666666666667,3356457,PASSENGER VEHICLE,BICYCLE
12540,,Driver Inattention/Distraction,Driver Inattention/Distraction,,2015-12-19,,,1,0,0,0,BOWERY                          ,CANAL STREET                    ,21.15,3356533,SPORT UTILITY / STATION WAGON,BICYCLE
12541,MANHATTAN,Driver Inattention/Distraction,Unspecified,,2015-12-19,40.7236497,-73.98528409999999,1,0,0,0,EAST 3 STREET                   ,AVENUE A                        ,18.5,3356557,TAXI,BICYCLE
12542,MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,,2015-12-19,40.8541683,-73.93370440000001,1,0,0,0,WEST 187 STREET                 ,BROADWAY                        ,23.833333333333332,3356648,PASSENGER VEHICLE,BICYCLE
12543,BRONX,Alcohol Involvement,Unspecified,,2015-12-20,40.835724299999995,-73.921284,1,0,0,0,RIVER AVENUE                    ,EAST 167 STREET                 ,3.1666666666666665,3356696,LIVERY VEHICLE,BICYCLE
12544,BROOKLYN,Unspecified,Unspecified,,2015-12-18,40.652488299999995,-73.952663,1,0,0,0,ROGERS AVENUE                   ,LINDEN BOULEVARD                ,19.85,3356812,PASSENGER VEHICLE,BICYCLE
12545,,Lost Consciousness,Other Electronic Device,,2015-12-18,,,1,0,0,0,EAST NEW YORK AVENUE            ,UTICA AVENUE                    ,16.166666666666668,3356813,PASSENGER VEHICLE,BICYCLE
12546,BROOKLYN,Fatigued/Drowsy,Unspecified,,2015-12-19,40.698410100000004,-73.91331020000001,1,0,0,0,GATES AVENUE                    ,IRVING AVENUE                   ,23.583333333333332,3356911,SPORT UTILITY / STATION WAGON,BICYCLE
12547,BROOKLYN,Passenger Distraction,Unspecified,,2015-12-20,40.705255799999996,-73.9394321,1,0,0,0,MC KIBBIN STREET                ,BUSHWICK AVENUE                 ,2.183333333333333,3356924,SPORT UTILITY / STATION WAGON,BICYCLE
12548,BROOKLYN,Unspecified,Unspecified,,2014-05-15,40.650766,-73.8848048,1,0,0,0,VANDALIA AVENUE                 ,PENNSYLVANIA AVENUE             ,20.833333333333332,335694,PASSENGER VEHICLE,BICYCLE
12549,QUEENS,Failure to Yield Right-of-Way,Unspecified,,2015-12-19,40.744028799999995,-73.9261524,1,0,0,0,39 STREET                       ,QUEENS BOULEVARD                ,17.716666666666665,3357034,TAXI,BICYCLE
12550,QUEENS,Lost Consciousness,Unspecified,,2015-12-18,40.7405692,-73.8692478,1,0,0,0,51 AVENUE                       ,94 STREET                       ,10.083333333333334,3357057,SPORT UTILITY / STATION WAGON,BICYCLE
12551,MANHATTAN,Passenger Distraction,Unspecified,,2015-12-21,40.7405908,-73.9893906,1,0,0,0,EAST 22 STREET                  ,BROADWAY                        ,13.083333333333334,3357245,TAXI,BICYCLE
